pref,n,epoch,learning_rate,weight_decay,batch_size,m1_size,m2_size,dropout,base_channels,alpha,train_y,train_acc,train_positive,train_meanscore,valid_y,valid_acc,valid_auc,CNN_valid_auc,valid_positive,valid_meanscore,test_y,test_acc,test_auc,CNN_test_auc,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
宮城県,0,11,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.2953776775648252,0.7386320931980459,0.2953942716121673,-0.2085442468523979,0.0307226308957161,0.7715274772825617,0.6993853747484908,0.6993853747484908,0.033421814844415,-0.6619717970087722,0.0699445983379501,0.6042936288088643,0.6230608287932292,0.6230608287932292,0.068551061032661,-0.0332913754572128,0.6264870783030151,0.052727460012546024,0.10271979055800563
宮城県,1,18,0.0002814509271606,0.0001256104370001,128,1024,1024,0.0418481581956125,32,0.2534717113185624,0.2953776775648252,0.712326193160466,0.2953942716121673,-2.4364267190297446,0.0307226308957161,0.9588922544353092,0.7046350367831992,0.7046350367831992,0.033421814844415,-2.9312468992697225,0.0699445983379501,0.9295013850415512,0.6499052660292091,0.6499052660292091,0.068551061032661,-2.1412440908366235,0.5922613009706051,0.054921350338183086,0.12872513134655383
宮城県,2,3,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.2953776775648252,0.7566704246523863,0.2953942716121673,-2.285459245954241,0.0307226308957161,0.9666810904370402,0.692910588531187,0.692910588531187,0.033421814844415,-2.8197985597558923,0.0699445983379501,0.9300554016620498,0.6014824207662762,0.6014824207662762,0.068551061032661,-2.6350056220745217,0.5984987527932345,0.055605123990910346,0.08266520807592521
宮城県,3,13,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.2953776775648252,0.756858323938369,0.2953942716121673,-1.624537013825916,0.0307226308957161,0.7758546083946344,0.6984485035211268,0.6984485035211268,0.033421814844415,-2.2527917140239,0.0699445983379501,0.6509695290858726,0.6352503262239849,0.6352503262239849,0.068551061032661,-1.041494632589406,0.6047640543568302,0.05742483410545218,0.11266218531985478
宮城県,4,13,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.2953776775648252,0.7164599774520857,0.2953942716121673,-2.554568688074748,0.0307226308957161,0.9516443098225876,0.6932198660714286,0.6932198660714286,0.033421814844415,-4.378670640893884,0.0699445983379501,0.928393351800554,0.6363563176868691,0.6363563176868691,0.068551061032661,-0.3093500037131638,0.675229796454904,0.052165837766831105,0.0970857424501789
山形県,5,17,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.3956315681022048,0.8032145064908304,0.3955952932960109,-0.155855112758122,0.0104395239045149,0.8408803776846865,0.5982578877402445,0.5982578877402445,0.010417128849964,-0.5373783611645133,0.0307226308957161,0.8727823453050627,0.6266147667253521,0.6266147667253521,0.0308427847921848,-0.8675246270927223,0.7839941923439113,0.014216283208199471,0.04499129344865579
山形県,6,1,0.0002814509271606,0.0001256104370001,128,1024,1024,0.0418481581956125,32,0.2534717113185624,0.3956315681022048,0.6043684318977952,0.3955952932960109,-0.2806944031464426,0.0104395239045149,0.989560476095485,0.434676782194024,0.434676782194024,0.010417128849964,-0.2691929234286486,0.0307226308957161,0.969277369104284,0.395567152917505,0.395567152917505,0.0308427847921848,-0.2715371516910759,0.3346859908225089,0.008452465762366065,0.023230946113872046
山形県,7,4,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.3956315681022048,0.7601483618380384,0.3955952932960109,-0.0043664508940357,0.0104395239045149,0.9379613006183922,0.5927624274868883,0.5927624274868883,0.010417128849964,-0.352152915576757,0.0307226308957161,0.8841410644742536,0.6571133834255533,0.6571133834255533,0.0308427847921848,-0.6593903109834001,0.6570242041487274,0.013659480574254743,0.044982887560375114
山形県,8,9,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.3956315681022048,0.7286214712548938,0.3955952932960109,-1.176664600246831,0.0104395239045149,0.9892280071813284,0.5899194683955395,0.5899194683955395,0.010417128849964,-0.9750701562832976,0.0307226308957161,0.9485071397663348,0.6725257796780684,0.6725257796780684,0.0308427847921848,-1.47671352528237,0.739140196616861,0.015558700757078537,0.04871293378977711
山形県,9,8,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.3956315681022048,0.7510818050690294,0.3955952932960109,-0.1710922612171424,0.0104395239045149,0.989560476095485,0.5867011573850169,0.5867011573850169,0.010417128849964,-0.477729600364879,0.0307226308957161,0.930116832540026,0.684237848968813,0.684237848968813,0.0308427847921848,-0.8840571496937726,0.6752742832949307,0.01521684587647701,0.04988479394088009
