pref,n,epoch,learning_rate,weight_decay,batch_size,m1_size,m2_size,dropout,base_channels,alpha,train_y,train_acc,train_positive,train_meanscore,valid_y,valid_acc,valid_auc,CNN_valid_auc,valid_positive,valid_meanscore,test_y,test_acc,test_auc,CNN_test_auc,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
宮城県,0,11,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.2953776775648252,0.8977827884254039,0.2337467117624953,0.2960413240137846,0.0307226308957161,0.930116832540026,0.6858304121604628,0.7048254369969819,0.0447858070099524,0.2669589502048418,0.0699445983379501,0.927562326869806,0.6552896942709907,0.6150791415701511,0.0033240997229916,0.2198852022579288,0.9287769511436148,0.0528544838482082,0.1263250534961847
宮城県,1,22,0.0002814509271606,0.0001256104370001,128,1024,1024,0.0418481581956125,32,0.2534717113185624,0.2953776775648252,0.9748214956783164,0.2950018789928598,0.2954908238219029,0.0307226308957161,0.8609909130246647,0.7209304656061368,0.6984852474220322,0.1236477715274772,0.2288936445736684,0.0699445983379501,0.9191135734072022,0.6643439027447049,0.6551758660601728,0.0178670360110803,0.1185044253660555,0.9942149089221836,0.059660629562119,0.1321327068617082
宮城県,2,5,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.2953776775648252,0.9186396091694852,0.2538519353626456,0.2958985688399043,0.0307226308957161,0.8825183903072263,0.6956616653043259,0.6813863650653924,0.0977931631328429,0.2657755662686921,0.0699445983379501,0.9069252077562326,0.6341403537226395,0.5940797534705071,0.0361495844875346,0.1820788929049086,0.9499322326303709,0.0553698168480591,0.1292141732676379
宮城県,3,6,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.2953776775648252,0.8942127019917324,0.2219090567455843,0.2960508248741628,0.0307226308957161,0.9376893119861532,0.7043955137072435,0.6958903813506035,0.0363479013414106,0.2658601122298333,0.0699445983379501,0.9214681440443212,0.6569623202081936,0.6113907831587329,0.009972299168975,0.217351291260695,0.9292721048237188,0.0580858433862629,0.1223620405893555
宮城県,4,9,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.2953776775648252,0.8970311912814731,0.229988726042841,0.2960271094058717,0.0307226308957161,0.934876676763306,0.7156949509557344,0.6950008645623743,0.0421895283427087,0.2732676641159002,0.0699445983379501,0.9232686980609418,0.6437032504441806,0.6284485008441276,0.0109418282548476,0.209546853742442,0.924286265684237,0.064581843650235,0.1314426215220932
山形県,5,15,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.3956315681022048,0.987224397280033,0.3985163816196167,0.3956541650216912,0.0104395239045149,0.9758627568322362,0.6131910733866502,0.59911302244322,0.0144956446572245,0.1308800535493343,0.0307226308957161,0.8352444829078322,0.694685102804326,0.617453745912978,0.1513414106447425,0.2342978493804807,0.9990608162887684,0.0171820218584251,0.0553887849837404
山形県,6,15,0.0002814509271606,0.0001256104370001,128,1024,1024,0.0418481581956125,32,0.2534717113185624,0.3956315681022048,0.8415413146507315,0.2754996909128374,0.395971429756792,0.0104395239045149,0.988031119090365,0.6010143917715327,0.5899282423001497,0.0016623445707826,0.3491767776839186,0.0307226308957161,0.9309822587624405,0.6921049735915493,0.6683328486544265,0.0439203807875378,0.3625316419457255,0.9132779283503264,0.0157247679885549,0.0560294468818059
山形県,7,8,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.3956315681022048,0.6043684318977952,0.0,0.3956726603486644,0.0104395239045149,0.989560476095485,0.5897912837891626,0.5876354712271568,0.0,0.3924170910891086,0.0307226308957161,0.969277369104284,0.6491446727238431,0.688658513581489,0.0,0.3932105681060786,0.8125083353063609,0.0142232470957081,0.0534051435578565
山形県,8,1,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.3956315681022048,0.8532866268287657,0.2855965382237791,0.3959853295530568,0.0104395239045149,0.989095019615666,0.6234342860224424,0.5782266355200187,0.0004654564798191,0.329905047561055,0.0307226308957161,0.9183254002596278,0.6844655825578471,0.6190380564637828,0.0589571614019904,0.3595016430633805,0.9268402934684112,0.0142545200913005,0.0570335839109968
山形県,9,14,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.3956315681022048,0.9322068823408202,0.3987224397280033,0.3957603982032795,0.0104395239045149,0.9680829842409736,0.5905597494344043,0.586431948311858,0.0225413923798124,0.1990092664891571,0.0307226308957161,0.822912159238425,0.6931098308601609,0.6570974676182092,0.1619428818693206,0.2563909799676915,0.9742946283005204,0.0150325937504225,0.0529102075265891
岩手県,10,19,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.4161447459986082,0.9097657156112272,0.4173045697054048,0.416372715587924,0.0302963127170619,0.780536466415429,0.612140479478406,0.6498522422929023,0.2049804182369023,0.2900948189124237,0.0104395239045149,0.850588469978057,0.6040169931272508,0.6067544513656048,0.1434935833499567,0.2617886121625369,0.9596117042818746,0.0385219758222984,0.0147797026955956
岩手県,11,6,0.0002814509271606,0.0001256104370001,128,1024,1024,0.0418481581956125,32,0.2534717113185624,0.4161447459986082,0.5838552540013918,0.0,0.4162368463142159,0.0302963127170619,0.969703687282938,0.6370470389913073,0.6227254141397621,0.0,0.4027819962655701,0.0104395239045149,0.989560476095485,0.5800332038790073,0.5706720896530413,0.0,0.4016474774446635,0.8934038319185799,0.0437953816292865,0.0150919901421183
岩手県,12,24,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.4161447459986082,0.9684527951751334,0.4254233356529807,0.4162198520908632,0.0302963127170619,0.8172615089041602,0.6121429885715455,0.6780865098142714,0.1658907854873272,0.2312805976156161,0.0104395239045149,0.9245960502692998,0.5992885005354222,0.5919055808025255,0.0676241771394374,0.1854611970090703,0.994774101362055,0.0385478091405973,0.0152830037042882
岩手県,13,13,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.4161447459986082,0.8939921131987938,0.3690559035026676,0.4164723802016651,0.0302963127170619,0.8799231508165226,0.6363192161221315,0.6339729352486697,0.0971698810315525,0.3354454627184247,0.0104395239045149,0.9428818405479088,0.608063261136225,0.5761172604531444,0.0484074739011902,0.3145705021882592,0.9460258947525688,0.0428100633284514,0.0159358157372665
岩手県,14,3,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.4161447459986082,0.9582463465553236,0.4207840408257944,0.4162862325527396,0.0302963127170619,0.8167442547846006,0.5857504883438684,0.6148413788489024,0.1641912362373457,0.2635533232622019,0.0104395239045149,0.9114302812687014,0.6135801211569227,0.5834956862348992,0.0806569585743733,0.212904335134032,0.9906656877717516,0.0353068678148309,0.0163796571109102
福島県,15,3,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.2364408897775556,0.9692576855786054,0.229692576855786,0.2367806530236938,0.0957051709361013,0.9043900580897056,0.7242952780327512,0.7361885287127967,0.0002856870774211,0.0850640681984721,0.0302963127170619,0.944579915761472,0.6449319106465469,0.6194381304096512,0.0274883617823099,0.1610328083483951,0.9856391446089736,0.1907786614909649,0.0448201467096038
福島県,16,6,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.2364408897775556,0.9750062484378904,0.2259435141214696,0.2367726362189281,0.0957051709361013,0.9041996000380916,0.7186376458063515,0.7423012360271096,0.0004761451290353,0.0811779067969655,0.0302963127170619,0.9547772112613612,0.6445428153511894,0.6558808496718664,0.0172910662824207,0.1551164020132944,0.99093766893081,0.1819838913473759,0.0476844227747146
福島県,17,8,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.2364408897775556,0.9887528117970508,0.232191952011997,0.2367260336870868,0.0957051709361013,0.9041043710122846,0.6957613470138777,0.7170487075993244,0.0001904580516141,0.0848412503895352,0.0302963127170619,0.9403679893593438,0.6168161280789826,0.6299260468029507,0.032291435749649,0.1603849042994127,0.9974069621936034,0.1664453562182223,0.0417776192349369
福島県,18,6,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.2364408897775556,0.971257185703574,0.2261934516370907,0.2368211711092123,0.0957051709361013,0.9038186839348632,0.7212043719900916,0.7396864665719423,0.0008570612322635,0.0888687883191706,0.0302963127170619,0.9246286854356018,0.6372586391793964,0.6300870934107498,0.0492130348038129,0.1761618997726268,0.9860085598946522,0.184745798068189,0.0454969257392397
福島県,19,7,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.2364408897775556,0.9565108722819295,0.2199450137465633,0.2368498558732295,0.0957051709361013,0.9028663936767928,0.6912201838323128,0.7421124684077506,0.0037139320064755,0.0928700631465758,0.0302963127170619,0.9266238084681888,0.6115366243961914,0.6484019864583315,0.045444469075593,0.1756928775333297,0.973951327251088,0.1768218698287356,0.0406222906689768
秋田県,20,9,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.187156366835276,0.9923026171101824,0.1829777875522322,0.1874105685590534,0.0699445983379501,0.9293628808864266,0.6677860265550011,0.6694794423597237,0.0006925207756232,0.0664439913740016,0.0957051709361013,0.9041996000380916,0.656025527375758,0.6764969382237925,0.0002856870774211,0.0653377991976024,0.9985214178506554,0.1230782452060831,0.1494969929479978
秋田県,21,14,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.187156366835276,0.9841653837695185,0.1836375632285023,0.187394450635414,0.0699445983379501,0.9285318559556788,0.6774923881070162,0.7093281628981959,0.0020775623268698,0.0644631069733779,0.0957051709361013,0.9040091419864776,0.6890499063234794,0.7124339339528138,0.0002856870774211,0.0655727175317028,0.9947167446255654,0.1271010415834697,0.160903851087817
秋田県,22,15,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.187156366835276,0.9837255333186716,0.1792390587200351,0.1874871834443861,0.0699445983379501,0.9290858725761773,0.6853051023642945,0.6890946086418024,0.0009695290858725,0.0691960553831656,0.0957051709361013,0.9041996000380916,0.6816975044742588,0.5899571749508565,0.0002856870774211,0.0757774077371643,0.9943820811421104,0.1293008252468347,0.1600339431311243
秋田県,23,20,0.000260000591173,0.0001481782060603,64,1024,256,0.2960660809801552,16,0.2042821535726167,0.187156366835276,0.9962612711678028,0.184737189355619,0.1873848117426123,0.0699445983379501,0.9295013850415512,0.6595542711382083,0.6708965446060615,0.0005540166204986,0.0672980182057402,0.0957051709361013,0.9041043710122846,0.6771226533717261,0.6511767719951211,0.0003809161032282,0.0712813608839674,0.9997392662589176,0.1163084742542386,0.1587381904157033
秋田県,24,19,0.00035747129226,0.0063512210106407,32,4096,256,0.0467983561008607,32,0.2650640588680905,0.187156366835276,0.9637123378051462,0.1697822740268308,0.1875626945274523,0.0699445983379501,0.929224376731302,0.6644155614370074,0.687382024874118,0.0008310249307479,0.0766710221154222,0.0957051709361013,0.9038186839348632,0.6610100822760671,0.5927709284244322,0.0004761451290353,0.0911929953770129,0.9756639616969606,0.130444868595141,0.1452971310060132
秋田県,25,6,0.0001247639427256,0.006245139574743,32,4096,512,0.0293016342019151,16,0.5680612190600297,0.187156366835276,0.9916428414339123,0.1823180118759621,0.187435452764529,0.0699445983379501,0.9297783933518006,0.655599330595755,0.6543653561186349,0.0002770083102493,0.0709572285417785,0.0957051709361013,0.9040091419864776,0.6668979240277131,0.6617265400042751,0.0004761451290353,0.0813374936941474,0.9987960715632112,0.111171503934244,0.1546372940412476
秋田県,26,16,0.0006420330336297,5.488047000766047e-06,32,4096,1024,0.2684482051282946,32,0.4210779940242304,0.187156366835276,0.983945458544095,0.1798988343963052,0.187421728144068,0.0699445983379501,0.9286703601108032,0.6424030727719086,0.6794858562550224,0.0013850415512465,0.0664294475628406,0.0957051709361013,0.9041043710122846,0.688424243567336,0.6479831256522778,0.0005713741548423,0.0674093720339654,0.995378350295685,0.1073053851567957,0.1721021737668389
秋田県,27,14,0.00026000059117302663,0.00014817820606039095,64,1024,256,0.2960660809801552,16,0.20428215357261675,0.187156366835276,0.8614471079832857,0.05080272707279525,0.1880426448176321,0.06994459833795014,0.9300554016620498,0.6389656672294184,0.643713719100875,0.0,0.1481545486225034,0.09570517093610133,0.9042948290638987,0.6455256363506813,0.6660271200861742,0.0,0.16180331978467205,0.883127223439021,0.10732470660633918,0.13811387666436353
