,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,lgbm_dannlike,福島県,399,10,,,,58,0.029106359131330698,0.004207988669606638,,,,,0.23644088977755562,1.0,1.0,1.0,0.23644088977755562,0.236486206416751,0.09570517093610133,0.7588913058968009,0.9043900580897057,0.0019880715705765406,9.522902580706599e-05,0.04155924301919498,0.030296312717061995,0.7123785645385219,0.8526564693711668,0.10261026102610261,0.13389492352028376,0.18972585819754811,1.0,0.21914053065803799,0.05908968822423869
1,1,lgbm_dannlike,福島県,401,3,,,,33,0.05399484409787434,0.679657809075816,,,,,0.23644088977755562,0.9224855797344664,0.8687828042989253,0.6525479814692257,0.14121469632591852,0.23668697242283065,0.09570517093610133,0.78013842958753,0.9042948290638987,0.0,0.0,0.14665721226232653,0.030296312717061995,0.6811838459007924,0.833370280056159,0.08444985789687373,0.15170324392226409,0.28339198179468345,0.8194594036968331,0.2286163955799545,0.04794799164708421
2,2,lgbm_dannlike,福島県,206,10,,,,18,0.04622589001020832,0.005337032762603957,,,,,0.23644088977755562,0.98265658141957,0.9195201199700075,0.8046116504854369,0.1754561359660085,0.2369535195778884,0.09570517093610133,0.7720452078277527,0.9040091419864775,0.0,0.000285687077421198,0.13061832648254063,0.030296312717061995,0.691564428865351,0.8573856498928545,0.10399257195914577,0.12887016921599054,0.2500766052717696,0.9469488226030699,0.2216282572050894,0.053093487852960704
3,3,lgbm_dannlike,福島県,316,5,,,,36,0.01120760621186057,0.014618962793704957,,,,,0.23644088977755562,0.992130531516974,0.9437640589852537,0.8691099476439791,0.19320169957510622,0.23651859872653244,0.09570517093610133,0.7578156500563735,0.9040091419864775,0.0,0.000285687077421198,0.11309304095651966,0.030296312717061995,0.700537503508084,0.8583462646863224,0.10545963602426504,0.12805734131382546,0.24740567371619188,0.9756517150734259,0.21506524987167905,0.053177053476312464
4,4,lgbm_dannlike,福島県,283,4,,,,85,0.00383962929980417,0.06672367170464207,,,,,0.23644088977755562,0.8606872593018065,0.7635591102224444,0.0,0.0,0.23644639179700794,0.09570517093610133,0.6927968623604808,0.9042948290638987,0.0,0.0,0.22731525625107732,0.030296312717061995,0.6671370132126986,0.969703687282938,0.0,0.0,0.2422278575018578,0.6556222810750566,0.16214731160067808,0.05239760442550875
