,pref,n,epoch,learning_rate,weight_decay,batch_size,m1_size,m2_size,dropout,base_channels,train_y,train_acc,train_positive,train_meanscore,valid_y,valid_acc,valid_auc,CNN_valid_auc,valid_positive,valid_meanscore,test_y,test_acc,test_auc,CNN_test_auc,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,0,1,0.00035747129226,0.0063512210106407,32,4196,256,0.0467983561008607,32,0,0.8434798947763998,0.2953942716121673,0.230507791751907,0,0.2827780181739506,0.6798211141851106,0.6798211141851106,0.033421814844415,0.1507181891718426,0,0.245567867036011,0.5775560847223963,0.5775560847223963,0.068551061032661,0.1457065086940239,0.5406759802976444,0.0472017098015797,0.0764981312058972
1,0,1,1,0.000186599596249,1.6480446427978994e-05,32,2048,512,0.1835558684167138,32,0,0.8739195791055994,0.2953942716121673,0.2856562066645849,0,0.8838165296408481,0.6951124717052314,0.6951124717052314,0.033421814844415,0.2089546810130815,0,0.885595567867036,0.6026628723929728,0.6026628723929728,0.068551061032661,0.270068748757757,0.6293125717935107,0.0533975940225519,0.08696874737234
2,0,2,5,0.0007896186801026,4.809461967501575e-06,128,512,512,0.2425192044349383,16,0,0.7544156332205938,0.2953942716121673,0.1109577289649418,0,0.913565556036348,0.5115037883551308,0.5115037883551308,0.033421814844415,0.0725900520746772,0,0.9300554016620498,0.5,0.5,0.068551061032661,0.0,0.4054506404144294,0.03186949068512,0.0699445983379501
3,0,3,10,0.0009519754482692,1.7654048052495086e-05,64,2048,1024,0.2908753883293675,32,0,0.7489665539270951,0.2953942716121673,0.1169995594592321,0,0.9066421462570315,0.5130399585010061,0.5130399585010061,0.033421814844415,0.0794058992854646,0,0.9300554016620498,0.5,0.5,0.068551061032661,0.0,0.4156077479045676,0.0320961453102961,0.0699445983379501
4,0,4,9,0.00037507963596256056,1.2172958098369984e-05,32,1024,512,0.16280882494747453,32,0,0.8327696354753852,0.29539427161216736,0.22366968719732194,0,0.8556901774123756,0.6844372877892355,0.6844372877892355,0.033421814844415,0.14873134062902346,0,0.8081717451523546,0.5948756662710202,0.5948756662710202,0.06855106103266108,0.10988857442962713,0.7816765305438883,0.05166893438057197,0.09486929499199297
