,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,lgbm,宮城県,553,6,,,,35,0.008073832223450374,0.6710404031369279,,,,,0.29537767756482525,0.9004404580152672,0.7046223224351748,0.0,0.0,0.29530774989738573,0.03072263089571614,0.6640436368209255,0.9692773691042839,0.0,0.0,0.29856519886107197,0.06994459833795014,0.5044471148529597,0.9300554016620498,0.0,0.0,0.2871556867602767,0.7971475323401029,0.047644962038551855,0.07386261409248848
1,1,lgbm,宮城県,171,5,,,,19,0.0010654059597060145,0.0011684744069054057,,,,,0.29537767756482525,0.8704551314673452,0.7046223224351748,0.0,0.0,0.2953821247906038,0.03072263089571614,0.6589144240442655,0.9692773691042839,0.0,0.0,0.29792813529692486,0.06994459833795014,0.4855796465722523,0.9300554016620498,0.0,0.0,0.28372386007771344,0.7440471330276414,0.047523287730323244,0.06879021937534194
2,2,lgbm,宮城県,399,5,,,,63,0.004327750574953124,4.119083956717064,,,,,0.29537767756482525,0.8597344359626803,0.7046223224351748,0.0,0.0,0.2952707562459635,0.03072263089571614,0.6712513361418512,0.9692773691042839,0.0,0.0,0.29751662068184154,0.06994459833795014,0.5074840574154214,0.9300554016620498,0.0,0.0,0.2901794413347211,0.6700096458964871,0.04991382331435912,0.07262224996524344
3,3,lgbm,宮城県,552,7,,,,71,0.005410402037609539,0.001975967725335974,,,,,0.29537767756482525,0.9320481764206954,0.7046223224351748,0.0,0.0,0.29541292818678344,0.03072263089571614,0.6527302486795775,0.9692773691042839,0.0,0.0,0.2978657262827595,0.06994459833795014,0.5183270791710594,0.9300554016620498,0.0,0.0,0.2818846766455006,0.8681142169493603,0.044583161179950134,0.0737839308348967
4,4,lgbm,宮城県,536,8,,,,121,0.006430402379978358,0.13734955690604675,,,,,0.29537767756482525,0.9391720949957592,0.7046223224351748,0.0,0.0,0.295364392297054,0.03072263089571614,0.6509966046277667,0.9692773691042839,0.0,0.0,0.29796666748475686,0.06994459833795014,0.5484737140877156,0.9300554016620498,0.0,0.0,0.28279776223102876,0.8775989363198702,0.04429465979660327,0.07821533658600832
