,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,lgbm_dannlike,岩手県,399,10,,,,58,0.029106359131330698,0.004207988669606638,,,,,0.41614474599860823,0.9999404273902902,0.996288564138251,0.9955431754874652,0.41660867548132685,0.41618680217454085,0.030296312717061995,0.6830234758188471,0.7641321214808247,0.10387422796181921,0.23291214069312052,0.2817352539159447,0.010439523904514927,0.622622378849497,0.866480484074739,0.03275529865125241,0.12760156925327482,0.2248198462859723,0.9999164100313982,0.051185280008084234,0.016146184409114795
1,1,lgbm_dannlike,岩手県,401,3,,,,33,0.05399484409787434,0.679657809075816,,,,,0.41614474599860823,0.9074023507484668,0.8213871491533287,0.7845551203133744,0.4128972396195778,0.4161202726640884,0.030296312717061995,0.6837839168988353,0.7727776546220351,0.09744643381273847,0.22145865661715805,0.3038410239740186,0.010439523904514927,0.6294165909828229,0.8500565197154066,0.03591278324070116,0.14508943413790812,0.26964115327056415,0.880335629680609,0.05172183387169251,0.01755934923529217
2,2,lgbm_dannlike,岩手県,206,10,,,,18,0.04622589001020832,0.005337032762603957,,,,,0.41614474599860823,0.9322832166020225,0.8550220366504291,0.8212753788961967,0.3950359545349107,0.41652329986817677,0.030296312717061995,0.674187007358148,0.7734426956328974,0.09074733096085409,0.21887238601936007,0.3279932726775003,0.010439523904514927,0.6343849749665522,0.9174812155063502,0.044649730561970746,0.07593589999335063,0.2920279239653949,0.9097990000407805,0.04781470376076514,0.017842105496587032
3,3,lgbm_dannlike,岩手県,316,5,,,,36,0.01120760621186057,0.014618962793704957,,,,,0.41614474599860823,0.8550485461404258,0.5838552540013918,0.0,0.0,0.4161674744714256,0.030296312717061995,0.6692346150772337,0.969703687282938,0.0,0.0,0.4094291700925835,0.010439523904514927,0.6138345643906159,0.989560476095485,0.0,0.0,0.4053508570754895,0.7642455936466945,0.05108910606348838,0.015592956680664615
4,4,lgbm_dannlike,岩手県,283,4,,,,85,0.00383962929980417,0.06672367170464207,,,,,0.41614474599860823,0.863019981406259,0.5843191834841104,0.0022271714922048997,0.00046392948271862676,0.41615133425509726,0.030296312717061995,0.662192241140578,0.969703687282938,0.0,0.0,0.3935498967923325,0.010439523904514927,0.6135655693151305,0.989560476095485,0.0,0.0,0.39428749293890203,0.7928757453136112,0.047588979501432,0.01639091315105071
