,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,lgbm,山形県,305,5,,,,98,0.002054219765786188,0.2590835464588957,,,,,0.39563156810220484,0.8603799970167065,0.6043684318977952,0.0,0.0,0.39562275497993055,0.010439523904514927,0.602167839231252,0.989560476095485,0.0,0.0,0.3826587238440735,0.03072263089571614,0.6997858243209256,0.9692773691042839,0.0,0.0,0.38944586018415395,0.7431151963708752,0.014295852891734833,0.0570850742392944
1,1,lgbm,山形県,348,9,,,,123,0.009310871012492582,0.10644982357080165,,,,,0.39563156810220484,0.9673288512899193,0.8792499484854729,0.8301449275362319,0.31526890583144446,0.39569132895247544,0.010439523904514927,0.6063354439210537,0.9797193962364519,0.012944983818770227,0.010107054990358402,0.3195208791707287,0.03072263089571614,0.7340543259557344,0.9000432713111207,0.09411764705882353,0.0796192124621376,0.3528952831180802,0.9513024478376306,0.014069558942336483,0.06277041807288145
2,2,lgbm,山形県,340,4,,,,16,0.0010982544781769994,0.011476299096471423,,,,,0.39563156810220484,0.862067600011365,0.6095198846074593,0.02670775552131484,0.0055635689264372555,0.39563867316825396,0.010439523904514927,0.5942875889053334,0.989560476095485,0.0,0.0,0.3527492342249512,0.03072263089571614,0.716588201081489,0.9692773691042839,0.0,0.0,0.3742638789463236,0.769326967495875,0.013846734527544976,0.06009420397789482
3,3,lgbm,山形県,413,4,,,,76,0.051698293563423224,0.002493667961911396,,,,,0.39563156810220484,0.9502711600750084,0.8800741809190191,0.8484375,0.39563156810220484,0.3957028841133253,0.010439523904514927,0.6205121477919292,0.8683423099940155,0.02845927379784102,0.12507480550568523,0.26543146578072,0.03072263089571614,0.7652740662726358,0.7925140631761143,0.14679715302491103,0.21246213760276936,0.29413890176532054,0.9285400017235172,0.01578227329831395,0.08062503836089571
4,4,lgbm,山形県,328,8,,,,17,0.07165482655103095,4.126759372056157,,,,,0.39563156810220484,0.9999991121150131,0.9993818256748404,0.9992185464964835,0.39542550999381826,0.3956385511619113,0.010439523904514927,0.6274801260360697,0.8822395106057583,0.02958904109589041,0.11091162976261719,0.1989932568957671,0.03072263089571614,0.7762257136569417,0.803872782345305,0.15161441272812354,0.20045434876676763,0.2467857213643133,0.9999986438035231,0.01656710821122299,0.08516319345025436
