,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,lgbm_dannlike,宮城県,399,10,,,,58,0.029106359131330698,0.004207988669606638,,,,,0.29537767756482525,1.0,1.0,1.0,0.29537767756482525,0.29539414153941895,0.03072263089571614,0.7297043982645877,0.8376244050194721,0.11235955056179775,0.15220683686715708,0.2087033620091847,0.06994459833795014,0.6999249500527119,0.9299168975069252,0.01556420233463035,0.0012465373961218836,0.06755370402373148,1.0,0.061422239004792586,0.16777446230581025
1,1,lgbm_dannlike,宮城県,401,3,,,,33,0.05399484409787434,0.679657809075816,,,,,0.29537767756482525,0.9665077184054284,0.9041713641488163,0.8273527420446851,0.25967681322810976,0.2953429927559864,0.03072263089571614,0.741973717303823,0.8709433145824318,0.12214863870493009,0.1162916486369537,0.24113816656877765,0.06994459833795014,0.7236457465552959,0.9293628808864266,0.011627906976744186,0.0015235457063711912,0.15262839209194184,0.9285918066279519,0.06759800577662103,0.18274516768448462
2,2,lgbm_dannlike,宮城県,206,10,,,,18,0.04622589001020832,0.005337032762603957,,,,,0.29537767756482525,0.9665005937234945,0.8996617812852311,0.8221185876082612,0.26869597895527997,0.2956925356499897,0.03072263089571614,0.7411458988304829,0.827563825183903,0.10949720670391061,0.16291648636953698,0.2680809856867447,0.06994459833795014,0.7070190131447993,0.9297783933518006,0.0,0.0002770083102493075,0.15515203426571397,0.9245343788094683,0.06375137353207648,0.1670120520143906
3,3,lgbm_dannlike,宮城県,316,5,,,,36,0.01120760621186057,0.014618962793704957,,,,,0.29537767756482525,0.9713083969465649,0.908868846298384,0.840092317837125,0.27452085682074406,0.2954326504628839,0.03072263089571614,0.7310599927691146,0.8228039809606231,0.10687022900763359,0.16767633059281697,0.2721066654818508,0.06994459833795014,0.6949067773493656,0.9299168975069252,0.003937007874015748,0.0004155124653739612,0.14360641258534734,0.9364852592832993,0.06215086366403789,0.15826930898319128
4,4,lgbm_dannlike,宮城県,283,4,,,,85,0.00383962929980417,0.06672367170464207,,,,,0.29537767756482525,0.877040033927057,0.7046223224351748,0.0,0.0,0.2954064443256191,0.03072263089571614,0.6990383708501007,0.9692773691042839,0.0,0.0,0.30397429132863624,0.06994459833795014,0.5653250075566008,0.9300554016620498,0.0,0.0,0.24695010192515662,0.7373861063041642,0.0577879122385413,0.07624697673686316
