,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,dt,岩手県,,5,,,,,,,,,,,0.4161447459986082,0.8327875463570132,0.7390396659707724,0.7368421052631579,0.5755045233124565,0.4161447459986082,0.0302963127170619,0.5932394808593365,0.6909776102859676,0.088094199738334,0.3085790290401241,0.2475836693738378,0.0104395239045149,0.5830989345483836,0.6354810825187845,0.0255954496978314,0.3636544983044085,0.2940760482798485,0.7341208162690157,0.0431467028438654,0.0130829815486986
1,1,dt,岩手県,,17,,,,,,,,,,,0.4161447459986082,0.993927690810626,0.9519832985386222,0.943084960131977,0.4275110183252145,0.4161447459986082,0.0302963127170619,0.5765524316829695,0.734500849774625,0.0794260825006405,0.2581098056602379,0.2469084835731273,0.0104395239045149,0.5433997981573944,0.7123478954717734,0.0239169675090252,0.28426092160383,0.2794222853610578,0.988941447023198,0.0372886365519785,0.0116281096214867
2,2,dt,岩手県,,5,,,,,,,,,,,0.4161447459986082,0.8327875463570132,0.7390396659707724,0.7368421052631579,0.5755045233124565,0.4161447459986082,0.0302963127170619,0.5940302169157483,0.6940072415576738,0.0884877834030376,0.3054016108771152,0.2458123442194525,0.0104395239045149,0.5848789671958687,0.6328878249883636,0.0257631904005646,0.366380743400492,0.295617463590557,0.7341208162690157,0.0439211467638786,0.0131535870766296
3,3,dt,岩手県,,5,,,,,,,,,,,0.4161447459986082,0.8321402201927673,0.7548132683832057,0.7417542145125825,0.5332869403850615,0.4161447459986082,0.0302963127170619,0.5886807374131807,0.6774551097317668,0.0843297671491504,0.3219537427030222,0.2826136257229271,0.0104395239045149,0.6398772252548071,0.6846199880311191,0.0322383187104672,0.3154465057517122,0.2983842701458639,0.7295292827226001,0.0404555586737689,0.0201127492612123
4,4,dt,岩手県,,19,,,,,,,,,,,0.4161447459986082,0.9972185792131898,0.9686847599164928,0.9635627530364372,0.4432846207376478,0.4161447459986082,0.0302963127170619,0.5646672291991532,0.7201655213182591,0.0770168169631976,0.2728884947905121,0.2509653643613997,0.0104395239045149,0.55174827539275,0.69027195957178,0.0251151109250732,0.3072677704634616,0.2880532506655105,0.9942471590226708,0.0354374546644861,0.0122224813947998
5,5,dt,岩手県,,4,,,,,,,,,,,0.41614474599860823,0.8095730526289681,0.7362560890744607,0.7092815136793659,0.49106935745766644,0.41614474599860823,0.030296312717061995,0.6177887269233129,0.7250424887312495,0.08999755441428223,0.27185398655139287,0.2781385782023108,0.010439523904514927,0.629201309323365,0.6985836824256932,0.032030749519538756,0.30095086109448765,0.28394740002142543,0.6938118631949427,0.045558963293307726,0.01699853335632452
6,6,dt,岩手県,,15,,,,,,,,,,,0.41614474599860823,0.9972296521889723,0.9672929714683368,0.9603152265690965,0.40802598005103224,0.41614474599860823,0.030296312717061995,0.5487785362879918,0.7265942510899284,0.075,0.2652774698884209,0.274199803882801,0.010439523904514927,0.5787612017082151,0.771726843540129,0.03377427526034337,0.22581288649511272,0.24527040499015706,0.9955255588228251,0.034621773379958705,0.013627106792239784
7,7,dt,岩手県,,13,,,,,,,,,,,0.41614474599860823,0.9899129619811591,0.9728601252609603,0.967830629639813,0.42751101832521454,0.41614474599860823,0.030296312717061995,0.5405832805184716,0.6926032660902978,0.08651734738691261,0.3062144387792803,0.30821078476136193,0.010439523904514927,0.4998153200078408,0.6957244497639471,0.0247229326513214,0.3015493051399694,0.30306602569080576,0.9826084496186475,0.0369859957972601,0.011309807575468667
8,8,dt,岩手県,,18,,,,,,,,,,,0.41614474599860823,0.9996039196562594,0.9877058687079564,0.9854115056427195,0.4265831593597773,0.41614474599860823,0.030296312717061995,0.5505743035407951,0.7199438409813049,0.07380254154447703,0.272075666888347,0.26874218201877204,0.010439523904514927,0.563731931106445,0.7469911563268834,0.028593311207556805,0.25001662344570785,0.23712760156641965,0.9992767628752084,0.034529051385094864,0.012446970501145566
9,9,dt,岩手県,,13,,,,,,,,,,,0.41614474599860823,0.9920146127846806,0.94595221526328,0.935653134493234,0.42379958246346555,0.41614474599860823,0.030296312717061995,0.5423042396239706,0.7432202763614867,0.07308615630834889,0.24673021502992684,0.2550633223374908,0.010439523904514927,0.5701214736393386,0.7417381474832103,0.02948525737131434,0.2556685949863688,0.24188922089840342,0.986723217199398,0.03422059797302862,0.01290013803920937
