,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,dt,山形県,,9,,,,,,,,,,,0.3956315681022048,0.9493005242072964,0.8672985781990521,0.8344473007712082,0.405934473521533,0.3956315681022048,0.0104395239045149,0.5509404341755997,0.7702639803178403,0.025937411897378,0.2254139237981249,0.2659561601183616,0.0307226308957161,0.6565445406815895,0.7311769796624837,0.1089996414485478,0.2709865858935525,0.3200965451123139,0.9151828140978652,0.0123542913929483,0.0523386939148414
1,1,dt,山形県,,14,,,,,,,,,,,0.3956315681022048,0.9906509262416184,0.9478672985781992,0.9353106622347226,0.4102616937976509,0.3956315681022048,0.0104395239045149,0.5626210691837359,0.7497838952057982,0.0263906856403622,0.2465589467384799,0.2622430425176632,0.0307226308957161,0.6092254700075452,0.6976417135439203,0.0940032414910859,0.3030073561228905,0.291721318092729,0.9815959629994786,0.012099187849528,0.0417311012082809
2,2,dt,山形県,,8,,,,,,,,,,,0.3956315681022048,0.9276779499090806,0.849371522769421,0.8077833289508283,0.3880074180919019,0.3956315681022048,0.0104395239045149,0.5841982405967283,0.7916749783895206,0.0273207078547035,0.2037369505951193,0.2616780683357841,0.0307226308957161,0.674678343498491,0.7335569017741238,0.1085776330076004,0.2681739506707053,0.3225877066282017,0.8765830108402698,0.0147528457778486,0.0535570222181099
3,3,dt,山形県,,8,,,,,,,,,,,0.3956315681022048,0.9229039699113536,0.8672985781990521,0.8325533021320853,0.3968679167525242,0.3956315681022048,0.0104395239045149,0.5392782029673773,0.7791076534344039,0.0258064516129032,0.216304275550236,0.2566523128490021,0.0307226308957161,0.659173399773642,0.7514063176114236,0.1168332052267486,0.2507572479446127,0.2963787472725095,0.8763171516535977,0.0119725373339507,0.0542826651452096
4,4,dt,山形県,,20,,,,,,,,,,,0.39563156810220484,0.9944591537390612,0.9837214094374613,0.9794217244073977,0.39542550999381826,0.39563156810220484,0.010439523904514927,0.4918657344357352,0.7941352483542788,0.02702702702702703,0.20114369306469845,0.21285282069599676,0.03072263089571614,0.5218579052439637,0.7029424491562094,0.08649367930805056,0.29446127217654694,0.30395070625793225,0.9883757447329405,0.010841932371219469,0.037704476235504894
5,5,dt,山形県,,20,,,,,,,,,,,0.39563156810220484,0.999828194255029,0.9925819080980837,0.9907024793388429,0.4022254275705749,0.39563156810220484,0.010439523904514927,0.5296455256938447,0.7493849325088104,0.0243334196220554,0.24642595917281734,0.24536091635140492,0.03072263089571614,0.581046434859155,0.7060796192124621,0.0854930999663413,0.29067503245348336,0.28748666788434957,0.9996154382616731,0.01118295312660648,0.03823921288997201
6,6,dt,山形県,,13,,,,,,,,,,,0.39563156810220484,0.9845420999545402,0.9552853904801154,0.9442589262779347,0.40655264784669276,0.39563156810220484,0.010439523904514927,0.5195983349269027,0.7847596249750648,0.029967036260113874,0.21145022940355077,0.2282751887514467,0.03072263089571614,0.5448515310613682,0.7132193855473821,0.0911895783339047,0.2848334054521852,0.29509674318345075,0.9703435333443464,0.011681426630742078,0.039713216660364176
7,7,dt,山形県,,4,,,,,,,,,,,0.39563156810220484,0.7903830513410615,0.7356274469400371,0.6918087917367283,0.46218833711106533,0.3956315681022048,0.010439523904514927,0.5920020937532368,0.8962696987831638,0.02743142144638404,0.09621650375689873,0.23464162287972842,0.03072263089571614,0.6368761396504024,0.5750757247944612,0.07966260543580131,0.4309822587624405,0.3445398363378825,0.6362874332770163,0.013232516666671603,0.04229075884400218
8,8,dt,山形県,,7,,,,,,,,,,,0.39563156810220484,0.8975929438004319,0.8359777457242943,0.8053789731051345,0.44714609519884607,0.39563156810220484,0.010439523904514927,0.5346014978125159,0.8229935501030654,0.02846715328467153,0.1717534410532615,0.1980913545369421,0.03072263089571614,0.6180229816398392,0.687797490263955,0.09925093632958802,0.3158805711813068,0.31057237551794564,0.8222770486339975,0.011466705865945205,0.04555732453976838
