,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,lgbm,福島県,132,3,,,,28,0.001859151876056267,0.3677807929581383,,,,,0.23644088977755562,0.7841553547887046,0.7635591102224444,0.0,0.0,0.23644061806831487,0.09570517093610133,0.6532856987178681,0.9042948290638987,0.0,0.0,0.23622347809761057,0.030296312717061995,0.6408623474331977,0.969703687282938,0.0,0.0,0.23665678189136957,0.47244593311976313,0.13347876772748776,0.043865443361061414
1,1,lgbm,福島県,375,10,,,,20,0.007940315037080571,0.11239972962502216,,,,,0.23644088977755562,0.8361572371221061,0.7635591102224444,0.0,0.0,0.23644186495509553,0.09570517093610133,0.6619470046565823,0.9042948290638987,0.0,0.0,0.23554815788555006,0.030296312717061995,0.6579594939437926,0.969703687282938,0.0,0.0,0.23741193405900085,0.6402110329784414,0.13608457807509286,0.05020961794624471
2,2,lgbm,福島県,215,5,,,,83,0.001294588030492423,0.05991914704248851,,,,,0.23644088977755562,0.8702734919706716,0.7635591102224444,0.0,0.0,0.23643535522710804,0.09570517093610133,0.660890209860554,0.9042948290638987,0.0,0.0,0.23075283253251475,0.030296312717061995,0.6616990649446233,0.969703687282938,0.0,0.0,0.2419011145595657,0.6616407364265482,0.1367418452320918,0.048223748578534405
3,3,lgbm,福島県,476,3,,,,65,0.07645223952591786,0.3903091698858013,,,,,0.23644088977755562,0.9019847544835174,0.8530367408147963,0.592797783933518,0.12446888277930518,0.2371071289143067,0.09570517093610133,0.745291235482235,0.9042948290638987,0.0,0.0,0.1623475295587051,0.030296312717061995,0.6733537096477418,0.8884947905120816,0.06447613143211407,0.08889381511859898,0.2757656350500253,0.7824755086841301,0.19697793652424853,0.049934888383408586
4,4,lgbm,福島県,322,9,,,,94,0.014817280047656268,0.0037900273260114714,,,,,0.23644088977755562,0.9674164282031674,0.7635591102224444,0.0,0.0,0.2367698234395145,0.09570517093610133,0.6600024833708458,0.9042948290638987,0.0,0.0,0.206393336513595,0.030296312717061995,0.6877406638502871,0.969703687282938,0.0,0.0,0.255216084058475,0.9001864240493431,0.1367218404758912,0.06730345231426214
