,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,dt,岩手県,,9,,,,,,,,,,,0.3074859136034344,0.9546864825719971,0.9331902334317145,0.886869604725125,0.28306949288972366,0.3074859136034344,0.04248873124953816,0.6592614265486488,0.8184438040345822,0.20304897826792084,0.18532476169363776,0.22293604489662547,0.04255602101203537,0.6426605688763108,0.8166766407340914,0.19267935578330894,0.18452024735687214,0.22069025000675643,0.9139769677689252,0.08027898628056455,0.07706944589424541
1,1,dt,岩手県,,5,,,,,,,,,,,0.3074859136034344,0.851877527616567,0.807620069761202,0.7072274397713353,0.3496109471424738,0.30748591360343447,0.04248873124953816,0.7493200775750418,0.7630237197960541,0.1866599036266802,0.2488731249538166,0.2465455009980056,0.04255602101203537,0.7388926748385304,0.7628831704235653,0.1839816933638444,0.24802180996076867,0.24626033004957018,0.6645114475837226,0.1014582485165743,0.09652190927411933
2,2,dt,岩手県,,13,,,,,,,,,,,0.3074859136034344,0.9946497867014489,0.9594848403541723,0.9344902386117137,0.3109739737053931,0.3074859136034344,0.04248873124953816,0.677373118503258,0.784748392817557,0.1707941929974381,0.21709894332372717,0.2199772564385863,0.04255602101203537,0.672300213990555,0.7746525699847064,0.16588727541225695,0.22760821863155795,0.22826741615514337,0.9838765638478458,0.07727851730109611,0.07301634856951364
3,3,dt,岩手県,,17,,,,,,,,,,,0.3074859136034344,0.9885777594760476,0.982023074859136,0.9703145768719539,0.2980949825596995,0.30748591360343447,0.04248873124953816,0.6299952354429361,0.7909554422522722,0.18870088901634643,0.21517771373679154,0.2293605655915214,0.04255602101203537,0.6162569340752829,0.7938692732229536,0.18119387216059166,0.20918944078728638,0.2237182054721476,0.9747821228229795,0.07578044647221949,0.0731977187702697
4,4,dt,岩手県,,8,,,,,,,,,,,0.3074859136034344,0.9410889957691898,0.9146766836597799,0.8582887700534759,0.2946069224577408,0.3074859136034344,0.04248873124953816,0.6663628981928237,0.8069903199586197,0.19482120838471023,0.19722160644350847,0.22895529336183706,0.04255602101203537,0.6641976005278145,0.8061041292639138,0.19313779745434423,0.19775251014030187,0.228728172511865,0.8849297449684794,0.08123480950056236,0.0809518618322278
