,Unnamed: 0,pref,n,epoch,learning_rate,weight_decay,batch_size,m1_size,m2_size,dropout,base_channels,train_y,train_acc,train_positive,train_meanscore,valid_y,valid_acc,valid_auc,CNN_valid_auc,valid_positive,valid_meanscore,test_y,test_acc,test_auc,CNN_test_auc,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,,2,0,19,0.00035747129226,0.0063512210106407,32,4196,256,0.0467983561008607,32,0,0.9720955191843306,0.3037295411859404,0.3077858787731333,0,0.8775585605556787,0.8244564714093023,0.7507153546239691,0.1262100051725412,0.199441622278796,0,0.8771859831105792,0.821912166209459,0.7486957644628098,0.1253407806370104,0.1980735553298524,0.9943936018201028,0.2143066387228756,0.2064307494422536
1,,2,1,20,0.000186599596249,1.6480446427978994e-05,32,2048,512,0.1835558684167138,32,0,0.980949825596995,0.3056077273946874,0.3077293859268889,0,0.8779280277839355,0.8258842279739895,0.7584772207197836,0.1243626690312569,0.1939884362718723,0,0.8822395106057583,0.8241759410375721,0.7582375512188346,0.1225480417580956,0.1924852356354874,0.9963920961032464,0.2207392235545305,0.2061546157984869
2,,2,2,42,0.0007896186801026,4.809461967501575e-06,128,512,512,0.2425192044349383,16,0,0.9729004561309365,0.3018513549771934,0.3077841863218986,0,0.8757112244143944,0.8224968963272647,0.7649438654650141,0.1276139806399172,0.2028004256461172,0,0.8771194893277479,0.8221979390929927,0.761508340422946,0.1248753241571913,0.2011340706035579,0.9938926957836608,0.2127429991672591,0.2025255731291276
3,,2,3,35,0.0009519754482692679,1.7654048052495086e-05,64,2048,1024,0.29087538832936755,32,0,0.978266702441642,0.3050711027636169,0.3077318836723596,0,0.8738638882731101,0.828058677868968,0.7761063502821826,0.13108697258553167,0.19864898142520987,0,0.8763215639337721,0.8249359221994583,0.7673496748906176,0.12713611277345568,0.1958846521745354,0.9959204209293604,0.21342467279634927,0.20694102629578195
