,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,dt,山形県,,9,,,,,,,,,,,0.3074074074074074,0.932151525554088,0.9039351851851852,0.8479296445584463,0.32430555555555557,0.3074074074074074,0.04255602101203537,0.6714480497777624,0.7822993550103066,0.1815,0.2234191103131857,0.2339970102012998,0.04251406317611424,0.671713464903694,0.7798572046733016,0.18567426970788314,0.22782345305062743,0.23651932024728237,0.8670219770392609,0.08105891721677529,0.08353453963062969
1,1,dt,山形県,,5,,,,,,,,,,,0.3074074074074074,0.8410671429031634,0.7645833333333333,0.5205091937765205,0.18356481481481482,0.3074074074074074,0.04255602101203537,0.7587931453573165,0.8657490524635947,0.17016029593094945,0.11922335261653036,0.24484518562348043,0.04251406317611424,0.7587495324776056,0.8711596711380355,0.19581363943281566,0.11769796624837732,0.2477420474462079,0.6371947226759065,0.09853358231663023,0.10627532446405988
2,2,dt,山形県,,13,,,,,,,,,,,0.3074074074074074,0.9964708852119709,0.9680555555555556,0.9476082004555809,0.3023148148148148,0.3074074074074074,0.04255602101203537,0.6848706398881866,0.7811689607021743,0.1683093252463988,0.22055987765143958,0.22884043799553513,0.04251406317611424,0.6712394022268008,0.7776936391172653,0.16700445885691123,0.22436174816096927,0.23340900818855273,0.9904766362015615,0.07709923939016175,0.0750522745884824
3,3,dt,山形県,,17,,,,,,,,,,,0.3074074074074074,0.9904997664454609,0.9805555555555555,0.9679633867276888,0.29953703703703705,0.3074074074074074,0.04255602101203537,0.5763616396972011,0.7842276747124144,0.16041397153945666,0.21444244963095951,0.22754043996630666,0.04251406317611424,0.5886229844789752,0.7859151882302033,0.1639205745669624,0.21354392038078754,0.2263000252555761,0.9797043351796728,0.06330463672417343,0.06457424802323719
4,4,dt,山形県,,8,,,,,,,,,,,0.3074074074074074,0.9077292206929322,0.8768518518518519,0.8008982035928144,0.3111111111111111,0.3074074074074074,0.04255602101203537,0.7087514757969303,0.7929383602633154,0.18095739084692267,0.21025334131258727,0.23542728828780815,0.04251406317611424,0.7217635879041284,0.7927304197317179,0.18882303132938189,0.21300302899177845,0.2380412869523669,0.8228200298685525,0.08775416989150059,0.09286021169035469
