,pref,n,epoch,learning_rate,weight_decay,batch_size,m1_size,m2_size,dropout,base_channels,train_y,train_acc,train_positive,train_meanscore,valid_y,valid_acc,valid_auc,CNN_valid_auc,valid_positive,valid_meanscore,test_y,test_acc,test_auc,CNN_test_auc,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,2,0,11,0.00035747129226,0.0063512210106407,32,4196,256,0.0467983561008607,32,0,0.8301583042661658,0.3079035540421804,0.2510406861702601,0,0.9022389714032364,0.7287181328304824,0.7287181328304824,0.0424841789282717,0.1820381787025703,0,0.9064432475563536,0.7349065039238837,0.7349065039238837,0.0425531324946274,0.1764563521591283,0.8126808042771186,0.1122038052728914,0.1206419951551514
1,2,1,7,0.000186599596249,1.6480446427978994e-05,32,2048,512,0.1835558684167138,32,0,0.8172793131204722,0.3079035540421804,0.2333022683858871,0,0.9201950786965196,0.7234053161719803,0.7234053161719803,0.0424841789282717,0.1736366695390557,0,0.9264578761885764,0.7229906916278909,0.7229906916278909,0.0425531324946274,0.1678637543977317,0.8497830839868368,0.1134914562653067,0.1243572190339416
2,2,2,7,0.0007896186801026,4.809461967501575e-06,128,512,512,0.2425192044349383,16,0,0.6935873356587068,0.3079035540421804,0.0010416666666666,0,0.9561072932830856,0.5029949603065421,0.5029949603065421,0.0424841789282717,0.0022129521019898,0,0.9558481282000132,0.5007115294464894,0.5007115294464894,0.0425531324946274,0.002360979410804,0.3102580393855186,0.0430741637214551,0.0426604074945832
3,2,3,2,0.0009519754482692,1.7654048052495086e-05,64,2048,1024,0.2908753883293675,32,0,0.6925140863965656,0.3079035540421804,0.0,0,0.957511268750462,0.5,0.5,0.0424841789282717,0.0,0,0.9574439789879646,0.5,0.5,0.0425531324946274,0.0,0.3074859136034344,0.0424887312495381,0.0425560210120353
4,2,4,6,0.0003750796359625,1.2172958098369984e-05,32,1024,512,0.1628088249474745,32,0,0.8459887308827475,0.3079035540421804,0.2769130816062291,0,0.8256853617084164,0.729533207620607,0.729533207620607,0.0424841789282717,0.2036149766085283,0,0.8340980118358934,0.7498176414160705,0.7498176414160705,0.0425531324946274,0.1977856798192202,0.6806326935598397,0.0965797969607184,0.1077033202687415
5,2,5,3,0.001193526270851,0.0012164139351417,64,4196,512,0.258931027762678,16,0,0.6927823987121009,0.3079035540421804,0.0002604166666666,0,0.957141801522205,0.5015068079480864,0.5015068079480864,0.0424841789282717,0.0002211084817799,0,0.9571780038566394,0.4996874782971039,0.4996874782971039,0.0425531324946274,0.0002648277460771,0.309298777703949,0.0430241741719,0.0425560210120353
6,2,6,9,0.0001501949057237,0.0007128188058401,128,4196,1024,0.1481386789093172,16,0,0.7942044539844378,0.3079035540421804,0.3761616826057434,0,0.9117712258922632,0.7065465685123173,0.7065465685123173,0.0424841789282717,0.3382246927270349,0,0.9184786222488196,0.7065805893638447,0.7065805893638447,0.0425531324946274,0.3304152079557968,0.7523833631388122,0.0955031060311891,0.1018736147091999
7,2,7,11,0.0002334720250903,4.3805807679056575e-05,32,2048,512,0.0869254358741304,32,0,0.8569895358196942,0.3079035540421804,0.3027059336503346,0,0.8819921672947609,0.7278071629411409,0.7278071629411409,0.0424841789282717,0.2369455658602264,0,0.8890218764545516,0.7097948425237863,0.7097948425237863,0.0425531324946274,0.2281339719133862,0.8667047106912796,0.1194318402758707,0.1179051339841622
8,2,8,2,0.0015584289782385,0.0038403004190988,32,1024,1024,0.1281323365878769,32,0,0.6925140863965656,0.3079035540421804,0.0,0,0.957511268750462,0.5,0.5,0.0424841789282717,0.0,0,0.9574439789879646,0.4999305507326897,0.4999305507326897,0.0425531324946274,0.0,0.3074859136034344,0.0424887312495381,0.0425560210120353
9,2,9,5,0.000300199469524,0.0001188946976953,128,4196,256,0.2887341884826334,32,0,0.8154011269117253,0.3079035540421804,0.3455926299095154,0,0.8803665114904308,0.7030701866230028,0.7030701866230028,0.0424841789282717,0.287518839228828,0,0.8871600505352749,0.7119916639176331,0.7119916639176331,0.0425531324946274,0.2811154495861571,0.6179343735836078,0.0922635741296026,0.1001968381454965
