,pref,n,epoch,learning_rate,weight_decay,batch_size,m1_size,m2_size,dropout,base_channels,train_y,train_acc,train_positive,train_meanscore,valid_y,valid_acc,valid_auc,CNN_valid_auc,valid_positive,valid_meanscore,test_y,test_acc,test_auc,CNN_test_auc,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,1,0,5,0.00035747129226,0.0063512210106407,32,4196,256,0.0467983561008607,32,0,0.7706018518518518,0.3070837715092827,0.1926009584875667,0,0.868009841079859,0.7467996909507606,0.7467996909507606,0.0425531324946274,0.1273260064801927,0,0.8663998269147555,0.7611254518185293,0.7611254518185293,0.0440697394110061,0.1338294907598882,0.6388688582741674,0.1150550150589494,0.1177135183702613
1,1,1,9,0.000186599596249,1.6480446427978994e-05,32,2048,512,0.1835558684167138,32,0,0.8238425925925926,0.3070837715092827,0.2593715550268398,0,0.9081720859099676,0.7243502152927287,0.7243502152927287,0.0425531324946274,0.1938143082089343,0,0.9086975335352662,0.736969960410448,0.736969960410448,0.0440697394110061,0.1988370905856828,0.8462313248052293,0.1220803997567088,0.1221879552543794
2,1,2,3,0.0007896186801026,4.809461967501575e-06,128,512,512,0.2425192044349383,16,0,0.6925925925925925,0.3070837715092827,0.0,0,0.9574439789879646,0.4997569275644142,0.4997569275644142,0.0425531324946274,7.343667770437419e-40,0,0.9574859368238856,0.499943509207999,0.499943509207999,0.0440697394110061,1.6023855514140575e-40,0.3079289379741187,0.0425560210120353,0.0425140631761142
3,1,3,2,0.0009519754482692,1.7654048052495086e-05,64,2048,1024,0.2908753883293675,32,0,0.6925925925925925,0.3070837715092827,0.0,0,0.9574439789879646,0.5,0.5,0.0425531324946274,0.0,0,0.9574859368238856,0.5,0.5,0.0440697394110061,0.0,0.3074074074074074,0.0425560210120353,0.0425140631761142
4,1,4,9,0.0003750796359625,1.2172958098369984e-05,32,1024,512,0.1628088249474745,32,0,0.8546296296296296,0.3070837715092827,0.3761193068588481,0,0.5701841877784427,0.7426741331863322,0.7426741331863322,0.0425531324946274,0.302872513815508,0,0.565772392903505,0.7751573045756391,0.7751573045756391,0.0440697394110061,0.3073815711446711,0.759981633218226,0.1116232231784418,0.1239585706809265
5,1,5,1,0.001193526270851,0.0012164139351417,64,4196,512,0.258931027762678,16,0,0.6925925925925925,0.3070837715092827,0.0,0,0.9574439789879646,0.5,0.5,0.0425531324946274,0.0,0,0.9574859368238856,0.5,0.5,0.0440697394110061,0.0,0.3074074074074074,0.0425560210120353,0.0425140631761142
6,1,6,11,0.0001501949057237,0.0007128188058401,128,4196,1024,0.1481386789093172,16,0,0.7752314814814815,0.3070837715092827,0.2571592024144004,0,0.9317773788150808,0.7097307104660047,0.7097307104660047,0.0425531324946274,0.2053109147286011,0,0.9315231501514496,0.7313078006452887,0.7313078006452887,0.0440697394110061,0.2085015536160082,0.7727285555235074,0.1174651083852518,0.1236796888502387
7,1,7,10,0.0002334720250903,4.3805807679056575e-05,32,2048,512,0.0869254358741304,32,0,0.8277777777777777,0.3070837715092827,0.254723203532836,0,0.8972006117428021,0.7164246974616293,0.7164246974616293,0.0425531324946274,0.1856576610924833,0,0.8972306360882735,0.727352151522966,0.727352151522966,0.0440697394110061,0.1926625499854216,0.850305974967574,0.1270349059618413,0.1305808575371777
8,1,8,10,0.0015584289782385,0.0038403004190988,32,1024,1024,0.1281323365878769,32,0,0.7118055555555556,0.3070837715092827,0.0886583139791208,0,0.9310459472039364,0.5599537619799986,0.5599537619799986,0.0425531324946274,0.0601740633532152,0,0.926546949372566,0.5679998206093934,0.5679998206093934,0.0440697394110061,0.0660289292399947,0.3628335409392718,0.0600198466696236,0.0630081881075622
9,1,9,7,0.000300199469524,0.0001188946976953,128,4196,256,0.2887341884826334,32,0,0.7865740740740741,0.3070837715092827,0.2874079434310688,0,0.8829709422169028,0.7340225992256407,0.7340225992256407,0.0425531324946274,0.2206037135447486,0,0.8843574210298571,0.7596949267243994,0.7596949267243994,0.0440697394110061,0.2233731396294929,0.6206269590445824,0.109117958916472,0.1182705379714108
