,trial,model,pref,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,num_leaves,learning_rate,reg_lambda,reg_alpha,C,penalty,class_weight,train_y,train_auc,train_acc,train_f1,train_positive,train_meanscore,valid_y,valid_auc,valid_acc,valid_f1,valid_positive,valid_meanscore,test_y,test_auc,test_acc,test_f1,test_positive,test_meanscore,train_prauc,valid_prauc,test_prauc
0,0,dt,秋田県,,9,,,,,,,,,,,0.30757459831675593,0.9282569370000825,0.8995791889824024,0.837007140639553,0.308530986993114,0.30757459831675593,0.0425207756232687,0.6853374490114692,0.8049861495844876,0.20271800679501698,0.2020775623268698,0.2262979355292048,0.04247214550995143,0.7002048152203242,0.805161413198743,0.20202808112324494,0.20169507665936579,0.22669875283960958,0.8748123921516858,0.08943874529539897,0.0900105948953904
1,1,dt,秋田県,,5,,,,,,,,,,,0.30757459831675593,0.8496784894587834,0.8008798775822494,0.6790009250693803,0.31273909716908954,0.30757459831675593,0.0425207756232687,0.7635244177165148,0.800415512465374,0.20518477661334805,0.20858725761772853,0.24053554304281705,0.04247214550995143,0.7625207100855608,0.8021140843729169,0.20807926829268292,0.20740881820778972,0.24278843501684366,0.6858339934096589,0.11783690643377852,0.1191035228306663
2,2,dt,秋田県,,13,,,,,,,,,,,0.30757459831675593,0.9875890746543525,0.935539403213466,0.8973499847700274,0.3203902065799541,0.30757459831675593,0.0425207756232687,0.7083663361904659,0.7857340720221606,0.18536071616640337,0.22049861495844875,0.22350597033775582,0.04247214550995143,0.7203408160944401,0.7881154175792782,0.20165052027269464,0.2229311494143415,0.2242101770331135,0.9661774984933653,0.0874905831864173,0.0914692465014601
3,3,dt,秋田県,,17,,,,,,,,,,,0.30757459831675593,0.9850334824496303,0.9791507268553941,0.9653197581928095,0.2936113236419281,0.30757459831675593,0.0425207756232687,0.6469258928205416,0.8029085872576177,0.20369334079462786,0.20498614958448755,0.2236852804297334,0.04247214550995143,0.6114146855969299,0.7934482430244738,0.1812004530011325,0.2097895438529664,0.22861832226936862,0.9745587125211186,0.09289480423168213,0.08057421688436248
4,4,dt,秋田県,,8,,,,,,,,,,,0.30757459831675593,0.911729766224128,0.8756694720734507,0.796875,0.3045141545524101,0.30757459831675593,0.0425207756232687,0.71104339602816,0.8051246537396122,0.2019285309132161,0.20166204986149586,0.22647652467258528,0.04247214550995143,0.7159526193380352,0.8054471002761642,0.19724950884086445,0.19988572516903153,0.22736185703312534,0.8395825534172322,0.09608096461490682,0.09653838010945642
